gkclasstype,gender,race,gkschid,gkfreelunch,gksurban,g8tmathss,g8treadss,hsgrdcol
SMALL CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,822,745,NO
SMALL CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,162184,FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,741,714,NA
REGULAR CLASS,MALE,WHITE,169229,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244723,FREE LUNCH,INNER CITY,NA,NA,YES
SMALL CLASS,MALE,BLACK,244796,NON-FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,221574,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,169280,NON-FREE LUNCH,SUBURBAN,792,762,YES
REGULAR CLASS,MALE,WHITE,257905,NON-FREE LUNCH,URBAN,809,795,YES
REGULAR CLASS,MALE,WHITE,215533,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,215533,FREE LUNCH,RURAL,725,708,NA
REGULAR CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,FEMALE,BLACK,244818,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,769,755,NA
SMALL CLASS,FEMALE,WHITE,193423,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,128068,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,166203,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,112038,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,205488,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,225585,NON-FREE LUNCH,RURAL,779,748,NO
REGULAR CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,702,NO
REGULAR CLASS,MALE,WHITE,244745,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,244736,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,128079,FREE LUNCH,RURAL,763,714,NA
REGULAR CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,805,759,NO
REGULAR CLASS,FEMALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,791,768,YES
SMALL CLASS,FEMALE,BLACK,244697,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,244801,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,FEMALE,BLACK,244780,FREE LUNCH,INNER CITY,777,727,NA
REGULAR CLASS,MALE,BLACK,215533,FREE LUNCH,RURAL,669,723,NA
SMALL CLASS,MALE,WHITE,205492,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244708,NA,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,203452,NON-FREE LUNCH,RURAL,822,781,YES
SMALL CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,205488,FREE LUNCH,SUBURBAN,NA,NA,NO
REGULAR CLASS,FEMALE,WHITE,252885,NON-FREE LUNCH,RURAL,751,761,NO
SMALL CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,257899,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,112038,FREE LUNCH,URBAN,726,700,NO
REGULAR CLASS,MALE,WHITE,128068,FREE LUNCH,RURAL,759,774,NA
REGULAR CLASS,MALE,BLACK,205490,FREE LUNCH,INNER CITY,870,809,YES
REGULAR CLASS,MALE,WHITE,234628,NON-FREE LUNCH,RURAL,723,588,YES
SMALL CLASS,FEMALE,BLACK,205492,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,205488,NON-FREE LUNCH,SUBURBAN,846,812,NA
REGULAR CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,NA,NA,NO
REGULAR CLASS,MALE,WHITE,203452,NON-FREE LUNCH,RURAL,828,822,YES
SMALL CLASS,FEMALE,WHITE,128079,NON-FREE LUNCH,RURAL,814,787,YES
REGULAR CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,786,752,YES
SMALL CLASS,FEMALE,WHITE,205488,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,734,698,YES
REGULAR CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,161176,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,128068,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,231616,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,205491,FREE LUNCH,SUBURBAN,751,761,NO
SMALL CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,209510,NON-FREE LUNCH,RURAL,724,647,YES
SMALL CLASS,MALE,WHITE,193423,FREE LUNCH,RURAL,740,742,NO
REGULAR CLASS,MALE,WHITE,244818,NON-FREE LUNCH,INNER CITY,768,755,NA
SMALL CLASS,MALE,BLACK,244801,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244723,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244780,FREE LUNCH,INNER CITY,747,699,NO
REGULAR CLASS,FEMALE,BLACK,244799,FREE LUNCH,SUBURBAN,751,725,YES
SMALL CLASS,FEMALE,WHITE,252885,FREE LUNCH,RURAL,670,698,NA
REGULAR CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,682,NA,NA
SMALL CLASS,MALE,WHITE,112038,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,244818,NON-FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,164198,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,234628,NON-FREE LUNCH,RURAL,813,782,NA
SMALL CLASS,MALE,WHITE,168211,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,244745,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
SMALL CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,665,588,YES
REGULAR CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,205490,FREE LUNCH,INNER CITY,779,711,NA
SMALL CLASS,MALE,WHITE,208501,FREE LUNCH,RURAL,787,682,NA
SMALL CLASS,FEMALE,WHITE,193423,NON-FREE LUNCH,RURAL,737,690,YES
REGULAR CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,244801,NON-FREE LUNCH,SUBURBAN,780,737,YES
SMALL CLASS,FEMALE,WHITE,228606,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244727,NON-FREE LUNCH,SUBURBAN,783,757,YES
SMALL CLASS,MALE,BLACK,244796,FREE LUNCH,INNER CITY,741,748,YES
REGULAR CLASS,FEMALE,BLACK,244736,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,244818,NON-FREE LUNCH,INNER CITY,809,821,YES
SMALL CLASS,MALE,BLACK,244746,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244727,NON-FREE LUNCH,SUBURBAN,810,763,YES
SMALL CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,806,769,NA
REGULAR CLASS,FEMALE,BLACK,244806,FREE LUNCH,INNER CITY,759,713,NO
SMALL CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,FEMALE,BLACK,244818,NON-FREE LUNCH,INNER CITY,822,789,YES
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,788,803,YES
SMALL CLASS,MALE,BLACK,244697,FREE LUNCH,INNER CITY,811,780,NO
REGULAR CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,244801,NON-FREE LUNCH,SUBURBAN,776,776,NO
SMALL CLASS,MALE,BLACK,244796,FREE LUNCH,INNER CITY,736,712,NO
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,789,750,YES
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,798,745,NA
SMALL CLASS,MALE,BLACK,244697,FREE LUNCH,INNER CITY,714,724,YES
SMALL CLASS,MALE,BLACK,244746,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244796,FREE LUNCH,INNER CITY,785,762,NA
SMALL CLASS,FEMALE,BLACK,244799,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244774,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244806,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244796,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,MALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,806,803,YES
REGULAR CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,811,794,YES
SMALL CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,810,738,NA
SMALL CLASS,MALE,BLACK,244799,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244746,NON-FREE LUNCH,INNER CITY,831,777,YES
REGULAR CLASS,MALE,BLACK,244697,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244801,NON-FREE LUNCH,SUBURBAN,750,730,NO
REGULAR CLASS,FEMALE,WHITE,244831,NON-FREE LUNCH,SUBURBAN,NA,NA,NO
REGULAR CLASS,MALE,WHITE,244745,NA,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,784,740,YES
REGULAR CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,824,746,NA
SMALL CLASS,FEMALE,WHITE,244801,NON-FREE LUNCH,SUBURBAN,772,809,NA
SMALL CLASS,FEMALE,BLACK,244736,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,257899,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244774,FREE LUNCH,INNER CITY,785,752,NO
REGULAR CLASS,FEMALE,BLACK,244818,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244799,FREE LUNCH,SUBURBAN,NA,NA,NO
SMALL CLASS,MALE,BLACK,244796,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244746,FREE LUNCH,INNER CITY,895,839,YES
SMALL CLASS,MALE,WHITE,112038,FREE LUNCH,URBAN,676,588,YES
REGULAR CLASS,MALE,BLACK,244780,FREE LUNCH,INNER CITY,819,766,YES
SMALL CLASS,MALE,BLACK,244796,NON-FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244728,FREE LUNCH,INNER CITY,766,762,NA
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,FEMALE,BLACK,244697,FREE LUNCH,INNER CITY,785,730,YES
REGULAR CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,161176,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,244755,NON-FREE LUNCH,INNER CITY,797,780,YES
SMALL CLASS,MALE,WHITE,244818,NON-FREE LUNCH,INNER CITY,811,801,YES
SMALL CLASS,FEMALE,BLACK,244780,NON-FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244727,FREE LUNCH,SUBURBAN,828,779,NA
SMALL CLASS,MALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,123056,NON-FREE LUNCH,RURAL,798,765,YES
REGULAR CLASS,MALE,WHITE,168214,NON-FREE LUNCH,RURAL,711,710,YES
REGULAR CLASS,FEMALE,BLACK,244806,FREE LUNCH,INNER CITY,758,746,NA
SMALL CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,743,705,YES
REGULAR CLASS,FEMALE,WHITE,193422,FREE LUNCH,RURAL,745,718,YES
REGULAR CLASS,FEMALE,BLACK,244799,FREE LUNCH,SUBURBAN,770,749,YES
SMALL CLASS,MALE,BLACK,244727,NON-FREE LUNCH,SUBURBAN,768,785,YES
SMALL CLASS,FEMALE,BLACK,244776,NON-FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244799,FREE LUNCH,SUBURBAN,818,764,YES
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,887,783,YES
SMALL CLASS,FEMALE,WHITE,169219,FREE LUNCH,SUBURBAN,711,760,NA
SMALL CLASS,MALE,BLACK,112038,FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,180344,NON-FREE LUNCH,URBAN,635,668,NA
SMALL CLASS,FEMALE,BLACK,244796,FREE LUNCH,INNER CITY,761,766,YES
SMALL CLASS,MALE,WHITE,189378,FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,MALE,WHITE,215533,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,216536,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,159171,FREE LUNCH,RURAL,737,722,NA
REGULAR CLASS,MALE,BLACK,244745,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,189382,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,130085,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,168214,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
SMALL CLASS,MALE,BLACK,201449,FREE LUNCH,RURAL,723,660,YES
SMALL CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,741,746,YES
SMALL CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,218562,NON-FREE LUNCH,URBAN,793,784,YES
SMALL CLASS,FEMALE,WHITE,203452,NON-FREE LUNCH,RURAL,724,664,NA
SMALL CLASS,FEMALE,WHITE,205491,FREE LUNCH,SUBURBAN,760,749,NA
REGULAR CLASS,MALE,WHITE,189382,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,208501,FREE LUNCH,RURAL,644,701,NA
REGULAR CLASS,MALE,BLACK,215533,FREE LUNCH,RURAL,783,633,YES
REGULAR CLASS,FEMALE,WHITE,215533,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,221574,NON-FREE LUNCH,RURAL,729,721,YES
SMALL CLASS,MALE,WHITE,228606,NON-FREE LUNCH,RURAL,895,821,YES
REGULAR CLASS,FEMALE,BLACK,244708,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,MALE,WHITE,112038,FREE LUNCH,URBAN,NA,NA,NO
REGULAR CLASS,FEMALE,WHITE,216536,FREE LUNCH,RURAL,733,660,NA
REGULAR CLASS,MALE,WHITE,257899,FREE LUNCH,RURAL,743,662,NO
SMALL CLASS,FEMALE,WHITE,228606,NON-FREE LUNCH,RURAL,889,789,YES
REGULAR CLASS,FEMALE,WHITE,128068,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,166203,NON-FREE LUNCH,URBAN,817,767,YES
SMALL CLASS,MALE,WHITE,234628,FREE LUNCH,RURAL,669,690,YES
SMALL CLASS,FEMALE,WHITE,168211,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,168214,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,MALE,WHITE,168214,NON-FREE LUNCH,RURAL,812,770,YES
SMALL CLASS,MALE,WHITE,262937,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,193423,FREE LUNCH,RURAL,733,NA,YES
SMALL CLASS,MALE,WHITE,221571,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,225585,NON-FREE LUNCH,RURAL,NA,660,YES
REGULAR CLASS,MALE,WHITE,228606,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,168211,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,123056,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,166203,NON-FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,169229,FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,705,725,NA
SMALL CLASS,MALE,WHITE,189378,NON-FREE LUNCH,RURAL,NA,NA,NO
REGULAR CLASS,MALE,WHITE,193422,NON-FREE LUNCH,RURAL,NA,728,NA
REGULAR CLASS,FEMALE,BLACK,168211,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,123056,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
SMALL CLASS,MALE,WHITE,166203,FREE LUNCH,URBAN,NA,NA,NO
SMALL CLASS,MALE,BLACK,166203,FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,168211,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,216536,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,221574,NON-FREE LUNCH,RURAL,819,762,YES
REGULAR CLASS,MALE,BLACK,228606,FREE LUNCH,RURAL,820,792,NO
REGULAR CLASS,MALE,WHITE,203452,NON-FREE LUNCH,RURAL,886,814,YES
REGULAR CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,766,744,YES
REGULAR CLASS,FEMALE,BLACK,201449,FREE LUNCH,RURAL,705,634,NA
REGULAR CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
SMALL CLASS,MALE,BLACK,205489,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,203452,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,215533,NON-FREE LUNCH,RURAL,798,809,YES
REGULAR CLASS,MALE,WHITE,193423,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,180344,NON-FREE LUNCH,URBAN,657,713,NA
SMALL CLASS,MALE,WHITE,193422,NON-FREE LUNCH,RURAL,853,812,YES
SMALL CLASS,MALE,BLACK,221571,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,209510,NON-FREE LUNCH,RURAL,803,754,YES
REGULAR CLASS,FEMALE,WHITE,221571,FREE LUNCH,RURAL,NA,NA,NO
REGULAR CLASS,FEMALE,WHITE,228606,NON-FREE LUNCH,RURAL,805,736,YES
SMALL CLASS,MALE,WHITE,162184,FREE LUNCH,RURAL,735,771,NO
SMALL CLASS,FEMALE,WHITE,208503,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,193422,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,763,732,NA
REGULAR CLASS,FEMALE,WHITE,257899,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,BLACK,221574,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,166203,FREE LUNCH,URBAN,796,817,NO
SMALL CLASS,MALE,WHITE,130085,NON-FREE LUNCH,SUBURBAN,892,837,YES
REGULAR CLASS,MALE,WHITE,164198,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,164198,NON-FREE LUNCH,RURAL,812,810,YES
SMALL CLASS,MALE,WHITE,166203,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,164198,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,165199,NON-FREE LUNCH,URBAN,841,847,YES
SMALL CLASS,MALE,WHITE,165199,NON-FREE LUNCH,URBAN,881,799,YES
REGULAR CLASS,MALE,WHITE,166203,FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,262937,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,166203,FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,169219,FREE LUNCH,SUBURBAN,776,774,NA
REGULAR CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,817,858,YES
SMALL CLASS,MALE,WHITE,169231,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,MALE,WHITE,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,783,795,NA
REGULAR CLASS,MALE,WHITE,216536,NON-FREE LUNCH,RURAL,817,792,YES
SMALL CLASS,MALE,WHITE,169229,FREE LUNCH,SUBURBAN,660,695,NA
SMALL CLASS,FEMALE,WHITE,180344,NON-FREE LUNCH,URBAN,876,806,YES
REGULAR CLASS,FEMALE,WHITE,203452,FREE LUNCH,RURAL,666,707,NA
SMALL CLASS,FEMALE,WHITE,189378,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,218562,NON-FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,189396,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,201449,NON-FREE LUNCH,RURAL,804,759,YES
SMALL CLASS,MALE,WHITE,201449,NON-FREE LUNCH,RURAL,804,763,YES
SMALL CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
